searchQuery,labels(json),stage
소구치 파절,"[{""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}, {""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
동탄 심미보철,"[{""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""보철"", ""label"": ""진료:보철""}, {""matched_expression"": ""심미"", ""label"": ""진료:심미치료""}]",3단계:지역탐색
인레이 밑 충치,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
어린이 치아 홈메우기,"[{""matched_expression"": ""홈메우기"", ""label"": ""진료:충치""}, {""matched_expression"": ""어린이"", ""label"": ""대상:소아""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}]",2단계:정보탐색
이가 검게 변하는 이유,"[{""matched_expression"": ""변하는"", ""label"": ""증상:변화""}, {""matched_expression"": ""이가"", ""label"": ""구강:치아""}, {""matched_expression"": ""검게"", ""label"": ""증상:변색""}, {""matched_expression"": ""이유"", ""label"": ""증상:원인""}]",2단계:정보탐색
인레이 파절,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
깨진이,"[{""matched_expression"": ""깨진"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
신경치료 잇몸,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}]",2단계:정보탐색
치아 변색,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""변색"", ""label"": ""증상:변색""}]",2단계:정보탐색
앞니 크라운 모양,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""모양"", ""label"": ""형태:모양""}]",2단계:정보탐색
치수염 증상,"[{""matched_expression"": ""치수염"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""증상"", ""label"": ""증상:증상""}]",2단계:정보탐색
동탄 신경치료,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
급성 치수염,"[{""matched_expression"": ""치수염"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""급성"", ""label"": ""증상:급성""}]",2단계:정보탐색
소구치 크라운,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}]",2단계:정보탐색
금이간 어금니,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""이간"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
금이 간 어금니,"[{""matched_expression"": ""금이 간"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}]",2단계:정보탐색
금간 어금니,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""금"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
동탄 미세현미경,"[{""matched_expression"": ""미세현미경"", ""label"": ""진단장비:미세현미경""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
소구치 충치,"[{""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
동탄 인접면 충치,"[{""matched_expression"": ""인접면"", ""label"": ""위치:인접면""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",3단계:지역탐색
송곳니 사이 충치,"[{""matched_expression"": ""송곳니"", ""label"": ""치아부위:송곳니""}, {""matched_expression"": ""사이"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
동탄 레진치료,"[{""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}, {""matched_expression"": ""치료"", ""label"": ""진료:치료""}]",3단계:지역탐색
잔존 치질,"[{""matched_expression"": ""잔존"", ""label"": ""상태:잔존""}, {""matched_expression"": ""치질"", ""label"": ""질병:치질""}]",2단계:정보탐색
인레이 염증,"[{""matched_expression"": ""인레이"", ""label"": ""진료:인레이""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}]",2단계:정보탐색
인접면 우식,"[{""matched_expression"": ""인접면"", ""label"": ""위치:인접면""}, {""matched_expression"": ""우식"", ""label"": ""진료:충치""}]",2단계:정보탐색
앞니 재신경치료,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}]",2단계:정보탐색
신경치료 미백,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""미백"", ""label"": ""진료:치아미백""}]",2단계:정보탐색
동탄 지르코니아,"[{""matched_expression"": ""지르코니아"", ""label"": ""재료:지르코니아""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 러버댐,"[{""matched_expression"": ""러버댐"", ""label"": ""진료보조:러버댐""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
앞니 깨짐,"[{""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""깨짐"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
아랫니 영구치,"[{""matched_expression"": ""아랫니"", ""label"": ""치아위치:아랫니""}, {""matched_expression"": ""영구치"", ""label"": ""치아종류:영구치""}]",2단계:정보탐색
치아 내부 충치,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}, {""matched_expression"": ""내부"", ""label"": ""공간:내부""}]",2단계:정보탐색
신경치료후 염증,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}]",2단계:정보탐색
앞니 크라운 교체,"[{""matched_expression"": ""크라운"", ""label"": ""진료:크라운""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""교체"", ""label"": ""진료:교체""}]",2단계:정보탐색
동탄역 내이튼,"[{""matched_expression"": ""내이튼"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""동탄역"", ""label"": ""지역:동탄역""}]",4단계:병원인지
동탄내이튼,"[{""matched_expression"": ""내이튼"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",4단계:병원인지
치근파절,"[{""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""치근"", ""label"": ""치아부위:치근""}]",2단계:정보탐색
치과 큐레이,"[{""matched_expression"": ""큐레이"", ""label"": ""진료:큐레이션""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}]",2단계:정보탐색
동탄 치과 큐레이,"[{""matched_expression"": ""큐레이"", ""label"": ""진료:큐레이션""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄치과보존과,"[{""matched_expression"": ""보존과"", ""label"": ""진료과:보존과""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
walking bleach,"[{""matched_expression"": ""bleach"", ""label"": ""진료:치아미백""}]",2단계:정보탐색
동탄미백치과,"[{""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""미백"", ""label"": ""진료:치아미백""}]",3단계:지역탐색
잇몸염증 대학병원,"[{""matched_expression"": ""대학병원"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}]",2단계:정보탐색
동탄 앞니 벌어짐 레진,"[{""matched_expression"": ""벌어짐"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
치아 수평파절,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""수평"", ""label"": ""방향:수평""}, {""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
치아 신경 괴사,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""신경"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""괴사"", ""label"": ""질병:치수괴사""}]",2단계:정보탐색
씌운 치아 통증,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""통증"", ""label"": ""증상:통증""}, {""matched_expression"": ""씌운"", ""label"": ""진료:크라운""}]",2단계:정보탐색
신경치료 후 뿌리 염증,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}, {""matched_expression"": ""뿌리"", ""label"": ""치아부위:치근""}]",2단계:정보탐색
레진 깨짐,"[{""matched_expression"": ""깨짐"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",2단계:정보탐색
어금니 레진,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",2단계:정보탐색
어금니 잇몸 내려앉음,"[{""matched_expression"": ""내려앉음"", ""label"": ""증상:퇴축""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}]",2단계:정보탐색
임플란트 픽스쳐 흔들림,"[{""matched_expression"": ""임플란트"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""픽스쳐"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""흔들"", ""label"": ""증상:흔들림""}]",2단계:정보탐색
픽스쳐 파절,"[{""matched_expression"": ""픽스쳐"", ""label"": ""진료:임플란트""}, {""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
동탄보존과,"[{""matched_expression"": ""보존과"", ""label"": ""진료과:보존과""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
내이튼 보존과,"[{""matched_expression"": ""내이튼"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""보존과"", ""label"": ""진료과:보존과""}]",4단계:병원인지
수직파절,"[{""matched_expression"": ""수직"", ""label"": ""방향:수직""}, {""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
동탄 레진 치과,"[{""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",3단계:지역탐색
동탄 실활치,"[{""matched_expression"": ""실활치"", ""label"": ""진료:치아미백""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
내이튼치과재신경치료,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}]",4단계:병원인지
동탄 충치치료,"[{""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}, {""matched_expression"": ""치료"", ""label"": ""진료:치료""}]",3단계:지역탐색
소구치 인접면,"[{""matched_expression"": ""인접면"", ""label"": ""위치:인접면""}, {""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}]",2단계:정보탐색
인접면 정지우식,"[{""matched_expression"": ""인접면"", ""label"": ""위치:인접면""}, {""matched_expression"": ""정지"", ""label"": ""상태:정지""}, {""matched_expression"": ""우식"", ""label"": ""진료:충치""}]",2단계:정보탐색
소구치 인접면 충치,"[{""matched_expression"": ""인접면"", ""label"": ""위치:인접면""}, {""matched_expression"": ""소구치"", ""label"": ""치아부위:소구치""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
실활치미백 동탄,"[{""matched_expression"": ""실활치미백"", ""label"": ""진료:치아미백""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
인접면 충치,"[{""matched_expression"": ""인접면"", ""label"": ""위치:인접면""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
아말감 2차 충치,"[{""matched_expression"": ""아말감"", ""label"": ""진료:레진""}, {""matched_expression"": ""2차"", ""label"": ""지역:동탄2""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",3단계:지역탐색
치과 pulpotomy,"[{""matched_expression"": ""pulpotomy"", ""label"": ""진료:치수절단술/근첨와동""}, {""matched_expression"": ""치과"", ""label"": ""장소:의료기관""}]",2단계:정보탐색
